Prof.Dr.Sait Engindeniz,GİRİŞİMCİLİKTE YATIRIM KARAR ANALİZLERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/289484/768050/1
Doç. Dr. Özgü Can,WEB TABANLI WINDOWS PROGRAMLAMA,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/122074/739023/1
Prof. Dr. Aybars UĞUR,BİLGİSAYAR GRAFİKLERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/122078/739023/1
Dr. Öğr. Üyesi Birol ÇİLOĞLUGİL,EĞİTİM SİSTEMLERİ TASARIMI,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/122085/739023/1
Prof. Dr. Aylin Kantarcı,SİSTEM PROGRAMLAMA,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/259059/739023/1
Prof. Dr. Levent TOKER,AĞ TEKNOLOJİLERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/259056/739023/1
Doç. Dr. Özgün Yılmaz,SUNUCU YAZILIM TEKNOLOJİLERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264305/739023/1
Özgür Gümüş,VERİ BİLİMİNE GİRİŞ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/271444/739023/1
Doç.Dr. Murat Osman Ünalır,ONTOLOJİ MÜHENDİSLİĞİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/254032/739023/1
Doç. Dr. Serdal Temel,GİRİŞİMCİLİK VE İŞ PLANI HAZIRLAMA,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/261824/768064/1
,AKADEMİK TÜRKÇE,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/277877/643428/1
,BİLGİSAYAR VE TOPLUM,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264033/643428/1
Prof. Dr. Turan ATILGAN,PAZARLAMA,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264034/643428/1
Dr. Öğr. Üyesi Elvan ARIKAN İYİLİKCİ,SOSYAL BİLİŞ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264036/643428/1
Dr. Öğr. Üyesi Birol ÇİLOĞLUGİL,TEMEL BANKACILIK VE BİLİŞİM TEKNOLOJİLERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264037/643428/1
Doç. Dr. Serdal Temel,"GİRİŞİMCİLİK, FİKRİ VE SINAİ MÜLKİYET HAKLARINA GİRİŞ",https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/265539/643428/1
,GİRİŞİMCİLİK VE ETİK,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264038/643428/1
Doç. Dr. Serdal Temel,"İNOVASYON, TEKNOLOJİ VE GİRİŞİMCİLİK",https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264293/643428/1
,MÜHENDİSLER İÇİN TEMEL  YÖNETİM VE YÖNETİCİLİK BECERİLERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264184/643428/1
,GENEL SOSYOLOJİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/275675/643428/1
,İLETİŞİM,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/275676/643428/1
Dr. Erçin GÜDÜCÜ,YÖNETİM BİLİŞİM SİSTEMLERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/122106/732442/1
Dr. Arif Erdal TAŞCI,GÖRÜNTÜ İŞLEME,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/122140/732442/1
Müh. Ertan Karakurt,VERİ MADENCİLİĞİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/122147/732442/1
Prof. Dr. Serdar KORUKOĞLU,SİMÜLASYON VE MODELLEME,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/122151/732442/1
Dr. Öğ. Üyesi Mustafa Engin,GÖMÜLÜ VE GERÇEK ZAMANLI SİSTEMLER,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/122153/732442/1
Assist. Prof. Dr. Özgür Gümüş,WEB SERVİSLERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/122161/732442/1
Dr. Öğr. Üyesi Ahmet EGESOY,BİLGİ GÖSTERİMİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/241589/732442/1
Prof.Dr.Oğuz DİKENELLİ,TEST YÖNELİMLİ GELİŞTİRME,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/241590/732442/1
Doç. Dr. Özgü CAN,KRİPTOLOJİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/271446/732442/1
Doç. Dr. Hasan BULUT,BULUT BİLİŞİM,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/284544/732442/1
Avukat Funda Vurucu,İŞ HUKUKU,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264040/643429/1
Prof. Dr. Sabri Sürgevil,SİYASİ TARİH,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264041/643429/1
,SOSYOLOJİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264042/643429/1
Doc. Dr. Gaye EDİZLER,İNSAN KAYNAKLARI YÖNETİMİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264043/643429/1
Doç. Dr. Berna Türkekul,EKONOMİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/264044/643429/1
